Name,RA,Dec,D,z,Origin,F60,F70,F100,F160,F250,F350,F500,sigma60,sigma70,sigma100,sigma160,sigma250,sigma350,sigma500,L_IR
HATLAS J114153.2-013637,175.47175,-1.610372,7.124667984219178e+25,0.56216,H-ATLAS,,,253.58665117920748,252.89047955591977,137.61599999999999,68.664,25.962,,,41.3164,47.9445,7.369,8.302999999999999,8.600999999999999,
HATLAS J121018.7-013540,182.577955,-1.594639,3.6851425035068487e+25,0.29077,H-ATLAS,,,204.99265117920748,217.27347955591978,131.902,67.60199999999999,37.426,,,41.3164,47.9445,7.306,8.235,8.652999999999999,
HATLAS J113622.3-021257,174.093088,-2.215847,1.4012083612054796e+25,0.11056,H-ATLAS,,,229.7206511792075,160.24447955591978,139.411,48.973000000000006,24.38,,,41.3164,47.9445,7.444,8.184000000000001,8.881,
HATLAS J115957.6-014759,179.990194,-1.799911,2.0986441075616437e+25,0.16559,H-ATLAS,,,132.4036511792075,204.24947955591978,105.42999999999999,45.913000000000004,12.863,,,29.2151,33.9019,6.593,7.475,7.764,
HATLAS J115545.6-014125,178.940303,-1.690444,3.131680409315068e+25,0.2471,H-ATLAS,,,169.9776511792075,202.32747955591975,134.302,70.767,36.843,,,45.448,50.3418,7.439,8.132,8.493,
HATLAS J114444.3+003921,176.184998,0.65606,1.1767564791780824e+25,0.09285,H-ATLAS,,,112.60930275892093,124.7220609446317,100.647,69.325,35.719,,,44.5652,46.125,6.5040000000000004,7.442,7.741,
HATLAS J122233.3-020131,185.638962,-2.025332,1.4421445316712328e+25,0.11379,H-ATLAS,,,150.49265117920748,210.43147955591976,133.18099999999998,62.117,23.814999999999998,,,41.3164,47.9445,7.446000000000001,8.342,8.841,
HATLAS J122449.8-010017,186.207649,-1.004724,7.347725755178083e+25,0.57976,H-ATLAS,,,90.6192511792075,176.86347955591978,132.64999999999998,70.108,14.714,,,41.3164,47.9445,7.346,8.097,8.758000000000001,
HATLAS J113944.2+012004,174.934556,1.334628,9.634574856986301e+24,0.07602,H-ATLAS,,,248.6102091533877,247.54282112145424,131.53400000000002,80.481,45.507,,,63.082,65.2799,7.3740000000000006,8.323,8.864,
HATLAS J115719.0+004809,179.329295,0.802667,1.5611509219726027e+25,0.12318,H-ATLAS,,,143.4796511792075,156.85247955591979,100.787,38.552,16.746000000000002,,,29.2151,33.9019,6.534,7.5760000000000005,7.899,
