HRS,D,T2,T_up2,T_low2,log_M2,log_M_up2,log_M_low2,beta,beta_up,beta_low,T,T_up,T_low,log_M,log_M_up,log_M_low
HRS-203,17,,,,,,,1.5,0.1,0.1,28,1.3,1.2,6.87,0.04,0.04
HRS-204,17,19.7,0.3,0.3,7.91,0.03,0.03,2.1,0.2,0.2,19.2,1.1,1,7.93,0.06,0.06
HRS-205,17,,,,,,,1.5,0.1,0.1,27.3,1.3,1.2,7.5,0.04,0.04
HRS-206,17,22.4,0.9,0.9,6.39,0.06,0.05,1.8,0.3,0.3,23.7,3.2,2.6,6.35,0.11,0.11
HRS-207,17,21,0.3,0.3,6.88,0.02,0.02,2,0.2,0.2,20.8,1.1,1,6.89,0.05,0.05
HRS-208,17,19.2,0.9,0.9,7.59,0.07,0.06,2,0.5,0.4,19,3.4,2.8,7.61,0.19,0.18
HRS-212,20.14,,,,,,,1.1,0.3,0.3,28.7,4.1,3.3,6.37,0.1,0.1
HRS-213,17.61,,,,,,,1.6,0.1,0.1,20.9,0.8,0.8,8.17,0.04,0.04
HRS-217,17,21.5,0.4,0.4,7.59,0.03,0.03,2.3,0.2,0.2,19.9,1.2,1.1,7.66,0.06,0.06
HRS-220,17,20.7,0.6,0.6,7.64,0.05,0.05,2.3,0.4,0.3,19,2,1.7,7.72,0.1,0.1
HRS-221,17,20.8,0.3,0.3,6.89,0.02,0.02,2.1,0.1,0.1,20.2,0.8,0.8,6.92,0.04,0.04
HRS-222,17,21,1.3,1.3,6.01,0.1,0.09,2.5,0.8,0.7,18.3,4.2,3.2,6.14,0.21,0.2
HRS-223,17,16.8,1.2,1.2,6.32,0.12,0.11,1.2,0.7,0.6,21.2,6.3,4.4,6.07,0.26,0.25
HRS-224,17,19.2,0.9,0.9,6.72,0.07,0.07,2,0.5,0.5,19.5,3.4,2.8,6.71,0.17,0.16
HRS-226,17,20.5,0.5,0.6,6.45,0.04,0.04,1.7,0.2,0.2,22.2,1.9,1.7,6.38,0.08,0.08
HRS-227,15.27,,,,,,,0.7,0.2,0.2,29.9,3.8,3.1,6.62,0.09,0.1
HRS-230,17,21.2,0.5,0.5,6.64,0.04,0.04,1.7,0.2,0.2,23.1,1.9,1.7,6.56,0.07,0.07
HRS-231,17,26.1,0.8,0.8,5.61,0.04,0.04,2.2,0.4,0.4,24.8,3.5,2.9,5.65,0.09,0.09
HRS-232,17,22.4,0.6,0.6,6.38,0.04,0.04,2.2,0.4,0.3,20.9,2.3,2,6.44,0.09,0.1
HRS-233,17,22,0.5,0.5,6.94,0.03,0.03,2.2,0.2,0.2,20.8,1.5,1.3,6.99,0.07,0.07
HRS-237,17,21.9,0.6,0.6,6.77,0.04,0.04,2,0.3,0.3,21.6,2,1.8,6.78,0.08,0.08
HRS-238,15.94,21.4,1.7,1.8,5.81,0.12,0.12,0.7,0.7,0.7,36.1,26.7,10.3,5.4,0.27,0.37
HRS-239,17,22.7,0.3,0.3,7.01,0.02,0.02,2.1,0.1,0.1,22.2,0.8,0.8,7.03,0.04,0.04
HRS-242,17,21.2,0.6,0.6,6.9,0.04,0.04,1.4,0.3,0.3,25.6,3,2.5,6.74,0.09,0.09
HRS-243,17,16.4,1,0.9,7.13,0.09,0.08,2.7,0.8,0.6,13.5,2.9,2.6,7.38,0.34,0.26
HRS-244,17,,,,,,,2.2,0.1,0.1,20.6,0.7,0.7,7.34,0.04,0.04
HRS-246,17,21,0.4,0.4,7.39,0.03,0.03,1.8,0.2,0.2,22.6,1.4,1.3,7.32,0.06,0.06
HRS-247,17,,,,,,,1.8,0.1,0.1,22.6,0.8,0.8,7.66,0.03,0.03
HRS-252,23.13,18,1.4,1.4,6.87,0.11,0.1,1,0.4,0.3,27.6,5.9,4.5,6.47,0.16,0.16
HRS-254,17,20.3,1,1,7.37,0.07,0.07,2.1,0.4,0.4,19.6,3,2.5,7.41,0.15,0.14
HRS-255,17,17.1,1.3,1.2,6.99,0.11,0.11,0.6,0.6,0.5,32.7,18.6,9.2,6.36,0.3,0.33
HRS-257,17,16.9,0.8,0.8,7.25,0.08,0.08,1.8,0.5,0.5,18.2,3.2,2.7,7.17,0.2,0.18
HRS-258,17.73,31.2,1.1,1.1,5.35,0.04,0.04,2.1,0.3,0.3,29.6,4.3,3.4,5.38,0.08,0.09
HRS-259,17,,,,,,,1,0.3,0.3,29.7,6,4.5,6.66,0.14,0.14
HRS-260,17,23,0.3,0.3,7.03,0.02,0.02,2,0.1,0.1,23.3,1,0.9,7.02,0.04,0.04
HRS-261,16.54,17.3,0.7,0.7,6.83,0.07,0.06,1.9,0.4,0.4,18,2.3,2,6.79,0.14,0.13
HRS-262,17,21.8,0.6,0.6,7.07,0.04,0.04,1.6,0.2,0.2,24.8,2.2,1.9,6.97,0.07,0.07
HRS-263,17.27,18.2,0.7,0.7,8.02,0.07,0.07,1.7,0.4,0.4,19.9,2.7,2.3,7.94,0.13,0.13
HRS-264,18.17,16.7,0.6,0.6,6.55,0.06,0.06,1.6,0.4,0.3,19.1,2.5,2.1,6.41,0.13,0.13
HRS-265,21.49,23.2,0.7,0.7,6.38,0.04,0.04,1.9,0.3,0.3,23.7,2.5,2.1,6.36,0.08,0.08
HRS-266,21.3,17.5,1.2,1.2,7.66,0.09,0.09,1.1,0.4,0.4,25,5.4,4.1,7.29,0.18,0.18
HRS-267,16.84,18.7,0.9,0.9,6.99,0.06,0.06,1.5,0.3,0.3,23.1,3.2,2.8,6.77,0.13,0.12
HRS-268,17,,,,,,,1.8,0.1,0.1,24.6,0.9,0.8,6.93,0.03,0.03
